RESPONSE,LABEL
intetraksi/beradaptasi terhadap lingkungan yang baru.,1
seperti jatuhnya meteor tsunami gempa bumi,0
hanya tuhan yang tahu tantangan nya itu apaan,0
mereka akan sulit beradaptasi,1
"Tempat tinggal, ekonomi, dan pekerjaan",1
akan terganggu dengan kesehatanya karena merekanperlu beradaptasi dengan lingkungan yang baru.,1
Mereka tidak akan di hormati oleh orang layaknya mereka di hormati di dalam tempat tinggal mereka yang lama,0
mereka akan kehilangan lahan pertanian.,1
"Pada kasus-kasus seperti salah satunya yang terjadi di Travina, warga mungkin dipaksa untuk menjadi ""pengungsi iklim”. Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.",0
mendapat musibah dan melawannya,0
karena mereka butuh tempat tinggal baru,1
Akan kehilangan tempat tinggal yang lama atau komunitas karena bencana alam.,0
mereka akan pindah ke tempat yang dulu,0
beradaptasi,1
Pengungsi iklim ini orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,0
karna mereka tidak mau terkena iklim yang sangat beser,0
keadaan yg tidak memadai serta kurangnya fasilitas di tempat pengungsian kegiatan jadi tidak dapat dilakukan seperti biasanya maknanya mereka tidak bebas melakukan sesuatu,1
Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,0
fkjgrioejtklejtdfljlkgr,0
merasa aneh,0
satu tantangan yang akan dihadapi pengungsi adalah kehilangan pekerjaan mereka yaitu pekerjaan bertani atau nelayan dan itulah salah satu pencaharian mereka selama menetap di Travina.,1
akan terjadinya perubahan tempat,0
"karena,akan ada bencana alam yang akan datang",0
Mereka perlu adaptasi dan harus rela berpisah dengan tembat lamanya yang kemungkinan lahan tersebut akan hilang,1
"tidak terjamin dengan semua kebutuhannya, dan sulit untuk beradaptasi dengan tempat baru",1
orang-orang yang trpaksa meninggalkan komunitas atau negaranya karna bercanda lingkungan,0
Mereka tidak akan mudah menyesuaikan hidup mereka di tempat baru,1
mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka,1
tidak mempunyai tempat yang tetap,1
"masalah yang dapatdidapatkan oleh pengngungsi itu adalah penggunaan bahasa, dan pencarian lapangan kerja, tempat tinggal.",1
mereka akan kehilangan lahan pertanian sektor pariwisata dan perikanan dan tempat tinggal mereka.,1
penderitaan panas nya cuaca iklim,0
Warga di Travina akan mengalami bencana yang besar dan disebabkan oleh perubahan iklim .,0
"MEREKA AKAN MENINGGALKAN NEGARANYA, DAN MEREKA AKAN MENJADI PUENGUNGSI YANG MEMBUTUHKAN BANTUAN DARI NEGARA LAIN, MEREKA JUGA MEMBUTUHKAN NEGARA MANA YANG HARUS MENJADI PENGUNGSI",0
tantanganya adalah mereka harus beradapatsi lagi dengan lingkungan barunya.,1
akan terjadi lama proses adaptasi yang dilakukan oleh para pengunsi iklim tersebut.,1
komunitas dan negara,0
"Tantangan pengungsi iklim adalah lahan pekerjaan yang ia tempati dulu akan hilang, karena ia harus meninggalkan negaranya karena bencana lingkungan yang ada di negaranya.",1
beradaptasi dengan lingkungan yang baru,1
tantanganya adalah akan meninggalkan tempat tinggal dan perkebunan yang dimiliki,0
sulit mencari lahan pertanian,0
"Harus mencari tempat untuk bekerja, membangun rumah dan berkenalan dengan orang asing",1
"penyesuaian lingkungan dan masalah imigrasi, seperti amerika yang menolak imigran/pendatang dari luar",1
kehilangan segalanya,1
sebagian dari mereka akan kehilangan lahan dan keluarganya.,1
sulit beradaptasi dengan wilayah barunya,1
ia susah untuk beradaptasi,1
Mereka harus bisa beradaptasi dengan lingkungan barunya.,1
kalau tidak pindah kita terkena bencana,0
penguisi iklim adalah orang orang yang terpaksa meningalkan komunikasi atau negaranya karena karena beencna,1
mereka harus beradaptasi dengan tempat tersebut dan harus merelakan rumah dan harta nya tengelam,1
tantangan yang pasti akan dihadapi oleh orang-orang Travina menjadi pengungsi iklim adalah harusnya berbaur dengan baik sesuai dengan aturan dan tatanan yang ada ditempat baru yang akan ditinggali,1
pengungsi iklim,0
"Mereka akan beradaptasi dengan tempat mereka yang baru, dan mereka harus menerima keadaan tempat mereka yang baru serta menjalani cara hidup yang baru ditempat tersebut",1
akan kehilangan komunitas dan negaranya,1
kehidupan yang tidak sama dengan kehidupan yang biasa mereka jalani di negaranya,0
mereka harus rela kehilangan tempat tinggal yang mereka miliki sebelumnya karena pengaruh bencana alam yang tidak dapat dilewati,1
mereka harus mengusahakan tempat mereka pindah untuk bertahan hidup dan harus menyesuaikan diri dengan lingkungan baru mereka,1
"Warga Travina tidak betah untuk tinggal di tempat lain bukan tempat asalnya ,tidur pun suka tidak nyenyak dan makanan pun tidak sebanyak di tempat tinggal dulu ,mandi pun harus rela mengantri dengan pengungsi iklim lainnya",1
"mereka harus memulai lingkungan yang baru, beradaptasi dengan lingkungan mereka yang baru, dan membangun rumah atau pertanian di tempat baru tersebut",1
Mereka akan susah beradaptasi pada lingkungan yang baru dan mereka akan susah mendapat keahlian yang dibutuhkan di tempat yang baru,1
"mereka harus beradaptasi dengan tampat baru yang mereka akan tinggal,memulai hidup baru mereka juga akan sangat sulit mendapatkan pekerjaan",1
"mereka akan kesusahan dalam mencari kerja,mencari usaha dan lain lain.",1
masalah tempat tingal dan barang berharga,1
ketidak nyamanan berpindah,1
"mareka merasakan sesuatu yang tidak enak karna meningalkan nerara ,keluarga,DAN lain-lain",1
mereka harus memulai hidup baru dan harus tinggal dengan keadaan yang berbeda dari sebelumnya.,1
berwaspada,0
membuat kembali lahan pertanian/ lahan pekerjaan yang sudah ditinggalkan di negara tersebut,1
